Date,Year,Ground,Opposition,Inns,Pos,Runs,BF,4s,6s,SR,Dismissal,NotOut
2017-10-01,2017,Nagpur,Australia,2.0,3.0,39.0,55.0,2.0,0.0,70.9,caught,0
2017-10-22,2017,Wankhede,New Zealand,1.0,3.0,121.0,125.0,9.0,2.0,96.8,caught,0
2017-10-25,2017,Pune,New Zealand,2.0,3.0,29.0,29.0,3.0,1.0,100.0,caught,0
2017-10-29,2017,Kanpur,New Zealand,1.0,3.0,113.0,106.0,9.0,1.0,106.6,caught,0
2018-02-01,2018,Durban,South Africa,2.0,3.0,112.0,119.0,10.0,0.0,94.11,caught,0
2018-02-04,2018,Centurion,South Africa,2.0,3.0,46.0,50.0,4.0,1.0,92.0,not out,1
2018-02-07,2018,Cape Town,South Africa,1.0,3.0,160.0,159.0,12.0,2.0,100.62,not out,1
2018-02-10,2018,Johannesburg,South Africa,1.0,3.0,75.0,83.0,7.0,1.0,90.36,caught,0
2018-02-13,2018,Gqeberha,South Africa,1.0,3.0,36.0,54.0,2.0,0.0,66.66,run out,0
2018-02-16,2018,Centurion,South Africa,2.0,3.0,129.0,96.0,19.0,2.0,134.37,not out,1
2018-07-12,2018,Nottingham,England,2.0,3.0,75.0,82.0,7.0,0.0,91.46,stumped,0
2018-07-14,2018,Lord's,England,2.0,3.0,45.0,56.0,2.0,0.0,80.35,lbw,0
2018-07-17,2018,Leeds,England,1.0,3.0,71.0,72.0,8.0,0.0,98.61,bowled,0
2018-10-21,2018,Guwahati,West Indies,2.0,3.0,140.0,107.0,21.0,2.0,130.84,stumped,0
2018-10-24,2018,Visakhapatnam,West Indies,1.0,3.0,157.0,129.0,13.0,4.0,121.7,not out,1
2018-10-27,2018,Pune,West Indies,2.0,3.0,107.0,119.0,10.0,1.0,89.91,bowled,0
2018-10-29,2018,Brabourne,West Indies,1.0,3.0,16.0,17.0,2.0,0.0,94.11,caught,0
